Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (BND US),%B (BND US)
12/10/2020,87.96,88.095,87.92,88.05,88.488,88.089,87.69,3745637,0.906,0.4511
12/9/2020,87.89,87.92,87.81,87.87,88.5361,88.0615,87.5869,5163907,1.078,0.2983
12/8/2020,88.15,88.16,88.0096,88.02,88.5816,88.04,87.4984,3737309,1.2304,0.4815
12/7/2020,87.98,88.07,87.961,87.99,88.5927,88.0195,87.4463,4734768,1.3025,0.4743
12/4/2020,88,88.02,87.81,87.87,88.5941,88.021,87.4479,4880174,1.3021,0.3683
12/3/2020,88.13,88.19,88,88.1,88.6134,88.0385,87.4636,3685268,1.3061,0.5535
12/2/2020,88.02,88.185,87.821,87.93,88.6157,88.04,87.4643,4631343,1.3078,0.4045
12/1/2020,88.255,88.27,88,88.08,88.636,88.02,87.404,7334433,1.3997,0.5487
11/30/2020,88.37,88.5,88.35,88.49,88.6416,87.9935,87.3454,4730006,1.4732,0.883
11/27/2020,88.29,88.38,88.28,88.37,88.5778,87.948,87.3182,2226253,1.4323,0.835
11/25/2020,88.2655,88.3058,88.17,88.18,88.5214,87.916,87.3106,5282073,1.3772,0.718
11/24/2020,88.2958,88.32,88.2,88.22,88.4962,87.903,87.3098,4678859,1.3497,0.7672
11/23/2020,88.3557,88.37,88.2734,88.31,88.473,87.894,87.315,3507392,1.3174,0.8593
11/20/2020,88.32,88.41,88.2524,88.38,88.4169,87.87,87.3231,6613260,1.2448,0.9662
11/19/2020,88.21,88.34,88.17,88.3,88.3343,87.836,87.3377,6207016,1.1345,0.9656
11/18/2020,88.12,88.13,88.05,88.12,88.2612,87.8005,87.3398,6089557,1.0495,0.8467
11/17/2020,87.96,88.05,87.92,88.02,88.2187,87.7815,87.3443,5537518,0.9961,0.7728
11/16/2020,87.82,87.88,87.79,87.87,88.1969,87.7725,87.3481,4059392,0.967,0.6149
11/13/2020,87.83,87.88,87.79,87.82,88.2115,87.7785,87.3455,3200683,0.9867,0.5479
11/12/2020,87.65,87.79,87.6024,87.79,88.2422,87.791,87.3398,4179822,1.0278,0.4989
11/11/2020,87.44,87.51,87.38,87.5,88.2846,87.8085,87.3324,3365910,1.0845,0.176
11/10/2020,87.43,87.55,87.39,87.44,88.3247,87.843,87.3613,5169722,1.0967,0.0817
11/9/2020,87.74,87.76,87.44,87.61,88.3387,87.878,87.4173,5712820,1.0486,0.2092
11/6/2020,88.01,88.07,87.92,88.02,88.3517,87.901,87.4503,3844529,1.0255,0.632
11/5/2020,88.28,88.29,88.11,88.22,88.3448,87.897,87.4492,4128654,1.019,0.8606
11/4/2020,88.07,88.185,88,88.13,88.305,87.882,87.459,5667819,0.9626,0.7932
11/3/2020,87.52,87.539,87.42,87.53,88.2737,87.864,87.4543,3985389,0.9325,0.0923
11/2/2020,87.56,87.63,87.52,87.55,88.2619,87.882,87.5021,4021390,0.8646,0.0631
10/30/2020,87.68,87.76,87.5,87.58,88.2456,87.893,87.5404,9731438,0.8023,0.0562
10/29/2020,87.92,87.9371,87.64,87.73,88.2516,87.919,87.5864,4200884,0.7565,0.2158
10/28/2020,88.09,88.09,87.8923,87.92,88.277,87.9405,87.604,4766399,0.7653,0.4695
10/27/2020,87.97,88.06,87.9,88.04,88.3131,87.9555,87.5979,3293079,0.8131,0.6182
10/26/2020,87.8117,87.91,87.795,87.83,88.3692,87.9715,87.5738,4177001,0.9041,0.3221
10/23/2020,87.58,87.745,87.5687,87.7,88.4115,87.995,87.5785,3237400,0.9467,0.1459
10/22/2020,87.73,87.7383,87.57,87.59,88.4254,88.021,87.6166,5037559,0.9188,-0.0329
10/21/2020,87.8,87.84,87.72,87.74,88.4149,88.053,87.6911,4115738,0.8221,0.0676
10/20/2020,87.93,87.93,87.81,87.84,88.4157,88.077,87.7383,4653063,0.769,0.1501
10/19/2020,88.01,88.03,87.92,87.99,88.4576,88.106,87.7544,5206595,0.7981,0.335
10/16/2020,88.16,88.21,88.04,88.07,88.494,88.126,87.758,3424787,0.8353,0.4239
10/15/2020,88.19,88.24,88.1,88.14,88.518,88.1395,87.761,3877906,0.8589,0.5007
10/14/2020,88.17,88.23,88.1234,88.19,88.555,88.1545,87.754,6966538,0.9087,0.5443
10/13/2020,88.12,88.2,88.09,88.14,88.5863,88.167,87.7477,4121129,0.9512,0.4678
10/12/2020,87.99,88.1,87.96,88.07,88.621,88.183,87.745,3383485,0.9934,0.371
10/9/2020,87.8265,87.94,87.76,87.94,88.6455,88.2,87.7545,4105335,1.0101,0.2082
10/8/2020,87.89,87.95,87.85,87.92,88.6611,88.2235,87.7859,5661642,0.9921,0.1533
10/7/2020,87.82,87.9,87.72,87.77,88.6599,88.2435,87.8271,3494587,0.9437,-0.0686
10/6/2020,87.86,88.04,87.74,87.89,88.6255,88.27,87.9145,5705879,0.8054,-0.0345
10/5/2020,87.98,87.98,87.77,87.77,88.6048,88.2935,87.9822,6298479,0.7051,-0.3409
10/2/2020,88.21,88.21,87.98,88.1,88.5184,88.3165,88.1146,5557138,0.4573,-0.0361
10/1/2020,87.9917,88.19,87.97,88.16,88.6035,88.349,88.0945,4485892,0.5761,0.1287
9/30/2020,88.28,88.3,88.13,88.22,88.6692,88.378,88.0868,6113565,0.6591,0.2288
9/29/2020,88.39,88.44,88.33,88.36,88.6855,88.3945,88.1035,7929760,0.6583,0.4407
9/28/2020,88.27,88.31,88.23,88.3,88.6914,88.3995,88.1076,4215116,0.6603,0.3295
9/25/2020,88.3,88.3,88.19,88.22,88.6963,88.3945,88.0927,5603028,0.6828,0.2109
9/24/2020,88.32,88.326,88.19,88.23,88.7045,88.39,88.0755,4225861,0.7115,0.2456
9/23/2020,88.4127,88.44,88.22,88.22,88.7076,88.401,88.0944,4659555,0.6936,0.2048
9/22/2020,88.4,88.47,88.3512,88.42,88.7127,88.415,88.1173,4442268,0.6734,0.5084
9/21/2020,88.49,88.5,88.38,88.39,88.7453,88.4275,88.1097,4981493,0.7188,0.441
9/18/2020,88.52,88.52,88.33,88.34,88.7968,88.4465,88.0962,2939145,0.7922,0.348
9/17/2020,88.6,88.6082,88.42,88.44,88.8099,88.4585,88.1071,2815391,0.7944,0.4737
9/16/2020,88.58,88.6,88.34,88.44,88.8095,88.458,88.1065,4851792,0.7947,0.4744
9/15/2020,88.46,88.49,88.4,88.46,88.8203,88.465,88.1097,3747273,0.8033,0.493
9/14/2020,88.49,88.53,88.4,88.41,88.8203,88.465,88.1097,4256364,0.8033,0.4226
9/11/2020,88.43,88.46,88.35,88.41,88.8201,88.462,88.1039,5301393,0.8097,0.4274
9/10/2020,88.225,88.36,88.17,88.32,88.8214,88.464,88.1066,5331762,0.808,0.2985
9/9/2020,88.401,88.45,88.24,88.3,88.8552,88.485,88.1148,6048218,0.8368,0.2501
9/8/2020,88.42,88.49,88.32,88.36,88.9342,88.5185,88.1028,4440392,0.9391,0.3093
9/4/2020,88.62,88.64,88.23,88.23,89.0891,88.5645,88.0398,6588315,1.1848,0.1812
9/3/2020,88.81,88.89,88.7101,88.75,89.2325,88.622,88.0115,7543955,1.3777,0.6048
9/2/2020,88.54,88.77,88.53,88.74,89.3736,88.6585,87.9435,5055033,1.613,0.557
9/1/2020,88.2483,88.57,88.18,88.55,89.4626,88.6885,87.9144,7202809,1.7457,0.4105
8/31/2020,88.3,88.54,88.26,88.46,89.5743,88.734,87.8937,16000352,1.8941,0.337
8/28/2020,88.24,88.29,88.12,88.2,89.6359,88.7745,87.9131,4281175,1.9407,0.1665
8/27/2020,88.62,88.62,88.1242,88.13,89.7059,88.8375,87.9691,5125696,1.9551,0.0927
8/26/2020,88.47,88.51,88.35,88.45,89.7286,88.898,88.0674,4853830,1.8687,0.2303
8/25/2020,88.52,88.56,88.34,88.5,89.7606,88.94,88.1194,4831237,1.8454,0.2319
8/24/2020,88.75,88.79,88.64,88.67,89.7721,88.9725,88.1729,2960502,1.7973,0.3108
8/21/2020,88.68,88.77,88.58,88.77,89.7837,88.9945,88.2053,3642505,1.7736,0.3578
8/20/2020,88.66,88.68,88.5701,88.58,89.8002,89.0145,88.2288,4623559,1.7653,0.2235
8/19/2020,88.7,88.7,88.4,88.43,89.8079,89.045,88.2821,4628073,1.7135,0.0969
8/18/2020,88.57,88.63,88.51,88.58,89.7879,89.079,88.3701,6371350,1.5917,0.1481
8/17/2020,88.4432,88.55,88.39,88.46,89.7723,89.0995,88.4267,3995380,1.5103,0.0248
8/14/2020,88.5,88.5428,88.33,88.35,89.7348,89.1235,88.5122,3454401,1.3718,-0.1327
8/13/2020,88.77,88.77,88.36,88.45,89.6647,89.1485,88.6323,3969838,1.1581,-0.1765
8/12/2020,88.85,88.85,88.71,88.74,89.6091,89.164,88.7189,4530787,0.9984,0.0237
8/11/2020,89.1,89.1,88.88,88.97,89.615,89.162,88.709,8125723,1.0162,0.2881
8/10/2020,89.48,89.5,89.27,89.28,89.6396,89.148,88.6564,3708553,1.1028,0.6343
8/7/2020,89.55,89.59,89.35,89.38,89.6587,89.113,88.5673,3764534,1.2247,0.7446
8/6/2020,89.48,89.58,89.44,89.48,89.6559,89.071,88.4861,3933417,1.3134,0.8496
8/5/2020,89.37,89.39,89.28,89.34,89.611,89.029,88.447,4931693,1.3075,0.7672
8/4/2020,89.37,89.46,89.35,89.46,89.6063,88.982,88.3577,5325101,1.4031,0.8829
8/3/2020,89.32,89.33,89.17,89.27,89.5563,88.9315,88.3067,6270005,1.4052,0.7709
7/31/2020,89.3485,89.47,89.27,89.46,89.5434,88.8835,88.2235,5110509,1.485,0.9368
7/30/2020,89.32,89.37,89.3,89.34,89.4722,88.8275,88.1828,2621231,1.4515,0.8975
7/29/2020,89.1986,89.29,89.16,89.29,89.4253,88.7705,88.1157,3136211,1.4754,0.8967
7/28/2020,89.21,89.24,89.08,89.15,89.3577,88.723,88.0883,5547764,1.4308,0.8364
7/27/2020,89.27,89.28,89,89.11,89.3129,88.678,88.0431,5147056,1.4319,0.8402
7/24/2020,89.16,89.23,89.09,89.17,89.2683,88.632,87.9957,2980419,1.4359,0.9227
7/23/2020,89.24,89.24,89.15,89.19,89.2126,88.575,87.9374,4394990,1.4396,0.9823
7/22/2020,89.12,89.14,89.05,89.11,89.1417,88.5125,87.8833,5609115,1.4217,0.9748
7/21/2020,89.01,89.04,88.97,88.99,89.0686,88.4535,87.8383,3045388,1.3909,0.9361
7/20/2020,89,89,88.88,88.94,89.0002,88.4025,87.8048,2771303,1.3521,0.9497
7/17/2020,88.91,88.93,88.77,88.85,88.9238,88.3555,87.7872,2430365,1.2864,0.9351
7/16/2020,88.82,88.86,88.76,88.76,88.8556,88.3115,87.7674,2856052,1.2322,0.9121
7/15/2020,88.72,88.77,88.63,88.7,88.8026,88.267,87.7314,3349919,1.2136,0.9042
7/14/2020,88.67,88.74,88.6401,88.69,88.7508,88.2245,87.6982,3067329,1.193,0.9423
7/13/2020,88.53,88.6,88.49,88.58,88.6802,88.188,87.6958,3115825,1.1163,0.8982
7/10/2020,88.75,88.75,88.52,88.54,88.6363,88.148,87.6597,2960484,1.1079,0.9014
7/9/2020,88.45,88.69,88.43,88.64,88.5979,88.1055,87.6131,3189718,1.1176,1.0428
7/8/2020,88.48,88.49,88.35,88.4,88.5043,88.066,87.6277,2908075,0.9954,0.881
7/7/2020,88.37,88.45,88.29,88.45,88.4996,88.02,87.5404,3300846,1.0897,0.9483
7/6/2020,88.25,88.33,88.18,88.31,88.4729,87.9685,87.4641,4026845,1.1467,0.8385
7/2/2020,88.23,88.34,88.17,88.34,88.47,87.9195,87.369,4007023,1.2522,0.8819
7/1/2020,88.14,88.2,88,88.2,88.4394,87.8695,87.2996,3569158,1.2972,0.7899
6/30/2020,88.35,88.36,88.17,88.34,88.4019,87.837,87.272,5405880,1.2864,0.9452
6/29/2020,88.22,88.2599,88.125,88.25,88.3238,87.8075,87.2912,3047321,1.176,0.9285
6/26/2020,88.17,88.21,88.05,88.19,88.2559,87.779,87.3021,2911719,1.0866,0.9309
6/25/2020,88.13,88.14,88,88.03,88.2092,87.7655,87.3218,4318357,1.0112,0.798
6/24/2020,87.91,88,87.85,87.94,88.1758,87.7475,87.3192,3256681,0.9762,0.7247
6/23/2020,88.01,88.02,87.91,87.93,88.1537,87.7325,87.3113,3037189,0.9603,0.7344
6/22/2020,88.12,88.16,87.95,87.97,88.1308,87.716,87.3012,3048351,0.9458,0.8062
6/19/2020,87.94,88.02,87.94,88,88.0987,87.7,87.3012,2606355,0.9094,0.8762
6/18/2020,87.94,88,87.88,87.97,88.0563,87.681,87.3057,2988826,0.856,0.885
6/17/2020,87.93,87.94,87.71,87.87,88.015,87.659,87.303,3900342,0.8123,0.7963
6/16/2020,88.09,88.09,87.775,87.85,88.0052,87.6305,87.2558,9338751,0.8551,0.7929
6/15/2020,87.86,88.06,87.79,87.96,88.0039,87.5975,87.1911,4486267,0.928,0.9459
6/12/2020,87.83,87.91,87.69,87.78,87.951,87.567,87.183,4087311,0.877,0.7774
6/11/2020,87.94,87.94,87.68,87.69,87.9307,87.543,87.1553,5026575,0.8858,0.6896
6/10/2020,87.64,87.85,87.495,87.85,87.9459,87.5115,87.0771,3951550,0.9928,0.8896
6/9/2020,87.59,87.62,87.48,87.48,87.9346,87.467,86.9994,5445629,1.0693,0.5139
6/8/2020,87.28,87.49,87.22,87.42,88.0068,87.427,86.8472,4491047,1.3263,0.494
6/5/2020,87.2,87.33,87.0324,87.33,88.0195,87.4035,86.7875,6465646,1.4095,0.4403
6/4/2020,87.61,87.64,87.3,87.34,88.0186,87.397,86.7754,6341774,1.4226,0.4541
6/3/2020,87.63,87.68,87.46,87.55,88.0314,87.376,86.7206,5036487,1.5002,0.6327
6/2/2020,87.67,87.75,87.63,87.75,88.015,87.364,86.713,5445532,1.4903,0.7965
6/1/2020,87.59,87.68,87.55,87.68,87.9727,87.346,86.7193,4345566,1.4351,0.7665
5/29/2020,87.72,87.94,87.63,87.92,87.9348,87.327,86.7191,6196540,1.3921,0.9878
5/28/2020,87.55,87.67,87.5,87.67,87.858,87.3065,86.755,7383028,1.2634,0.8295
5/27/2020,87.75,87.78,87.57,87.64,87.8429,87.302,86.7611,7606511,1.2393,0.8124
5/26/2020,87.66,87.66,87.53,87.6,87.8243,87.296,86.7677,5193908,1.2104,0.7877
5/22/2020,87.68,87.682,87.61,87.65,87.7887,87.279,86.7693,3710568,1.1679,0.864
