Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DBC US),%B (DBC US)
12/10/2020,14.2,14.4,14.2,14.275,14.354,13.8153,13.2765,893444,7.7989,0.9267
12/9/2020,14.12,14.14,13.9801,14.07,14.2871,13.7775,13.2679,1498789,7.3973,0.787
12/8/2020,14.03,14.06,13.96,14.06,14.2524,13.7505,13.2486,1360103,7.3,0.8083
12/7/2020,13.97,14.135,13.94,14.04,14.2332,13.711,13.1888,3676929,7.617,0.815
12/4/2020,14.01,14.095,13.99,14.04,14.2254,13.6645,13.1036,2366686,8.2097,0.8347
12/3/2020,13.93,14.01,13.87,13.98,14.1946,13.6205,13.0464,1626706,8.4298,0.8131
12/2/2020,13.86,14.06,13.84,13.96,14.1683,13.5765,12.9847,1188085,8.7173,0.824
12/1/2020,13.98,13.985,13.82,13.9,14.1484,13.5265,12.9046,7662352,9.1954,0.8003
11/30/2020,14.03,14.03,13.88,13.94,14.1328,13.4755,12.8182,2898597,9.7557,0.8533
11/27/2020,13.99,14.06,13.97,14.02,14.1241,13.411,12.6979,803382,10.635,0.927
11/25/2020,14.03,14.095,13.96,14.05,14.0715,13.3425,12.6135,2317035,10.9274,0.9853
11/24/2020,13.82,13.98,13.8,13.93,13.968,13.2805,12.593,1385982,10.3536,0.9724
11/23/2020,13.66,13.69,13.61,13.64,13.8627,13.242,12.6213,1069089,9.3747,0.8206
11/20/2020,13.56,13.61,13.54,13.6,13.8104,13.2135,12.6166,879632,9.0342,0.8238
11/19/2020,13.48,13.5484,13.4441,13.53,13.7672,13.1965,12.6258,632423,8.6486,0.7922
11/18/2020,13.56,13.64,13.53,13.53,13.7434,13.188,12.6326,1260004,8.4227,0.8079
11/17/2020,13.4,13.54,13.4,13.51,13.7143,13.1775,12.6407,840272,8.1467,0.8097
11/16/2020,13.54,13.56,13.45,13.47,13.7014,13.1735,12.6456,1073563,8.0148,0.7808
11/13/2020,13.41,13.44,13.33,13.35,13.6769,13.164,12.6511,785120,7.7917,0.6813
11/12/2020,13.57,13.6,13.4008,13.41,13.6682,13.16,12.6518,1013509,7.7236,0.746
11/11/2020,13.65,13.685,13.495,13.52,13.6612,13.1575,12.6538,1591945,7.6571,0.8598
11/10/2020,13.42,13.55,13.38,13.53,13.6295,13.1475,12.6655,2037209,7.3327,0.8968
11/9/2020,13.44,13.461,13.27,13.27,13.5837,13.1325,12.6813,1278543,6.8711,0.6524
11/6/2020,13.15,13.18,13.06,13.11,13.5769,13.129,12.6811,855277,6.8234,0.4788
11/5/2020,13.21,13.2899,13.14,13.16,13.5976,13.1405,12.6834,970796,6.9571,0.5213
11/4/2020,13.05,13.1413,12.93,13.1,13.6098,13.1475,12.6852,796028,7.0331,0.4486
11/3/2020,13,13.02,12.92,12.96,13.6129,13.151,12.6891,877009,7.0246,0.2932
11/2/2020,12.63,12.89,12.63,12.88,13.6129,13.159,12.7051,5856348,6.8982,0.1926
10/30/2020,12.67,12.68,12.57,12.65,13.6063,13.1685,12.7307,2362835,6.6489,-0.0922
10/29/2020,12.52,12.69,12.48,12.65,13.5908,13.173,12.7552,1007735,6.3427,-0.126
10/28/2020,12.86,12.87,12.7799,12.81,13.5517,13.1855,12.8193,1743820,5.5545,-0.0127
10/27/2020,13.14,13.22,13.1,13.16,13.5273,13.198,12.8687,651384,4.9898,0.4423
10/26/2020,13.17,13.17,13.045,13.07,13.5378,13.1855,12.8332,582977,5.3434,0.3361
10/23/2020,13.36,13.38,13.22,13.26,13.538,13.185,12.832,1042466,5.3539,0.6062
10/22/2020,13.33,13.42,13.3,13.36,13.5349,13.1695,12.8041,575665,5.5496,0.7607
10/21/2020,13.4,13.47,13.29,13.32,13.5154,13.149,12.7826,557982,5.5728,0.7334
10/20/2020,13.3,13.47,13.3,13.43,13.5016,13.1275,12.7534,1144828,5.6996,0.9043
10/19/2020,13.36,13.38,13.27,13.28,13.4568,13.108,12.7592,479055,5.322,0.7466
10/16/2020,13.25,13.31,13.22,13.27,13.4388,13.099,12.7592,621758,5.1876,0.7516
10/15/2020,13.14,13.36,13.1077,13.36,13.4693,13.107,12.7447,574155,5.528,0.8492
10/14/2020,13.28,13.34,13.27,13.32,13.4712,13.1075,12.7438,564596,5.5494,0.7921
10/13/2020,13.22,13.24,13.16,13.23,13.457,13.1025,12.748,1044523,5.4113,0.6798
10/12/2020,13.33,13.33,13.17,13.2,13.4433,13.09,12.7367,984309,5.3976,0.6557
10/9/2020,13.33,13.415,13.3,13.34,13.4333,13.0755,12.7177,1132433,5.4728,0.8696
10/8/2020,13.29,13.33,13.23,13.3,13.3974,13.0535,12.7096,1335214,5.2687,0.8584
10/7/2020,13.16,13.19,13.08,13.17,13.3689,13.029,12.6891,715481,5.2181,0.7074
10/6/2020,13.2,13.28,13.1,13.12,13.3531,13.0175,12.6819,777215,5.1563,0.6527
10/5/2020,12.97,13.09,12.97,13.07,13.3452,13.0025,12.6598,1451430,5.2711,0.5985
10/2/2020,12.68,12.82,12.64,12.74,13.3528,13.006,12.6592,1360532,5.3326,0.1165
10/1/2020,12.98,12.98,12.775,12.9,13.373,13.032,12.691,2114301,5.2338,0.3065
9/30/2020,12.94,13.1,12.91,13.06,13.4231,13.056,12.6889,1373990,5.6229,0.5054
9/29/2020,12.98,13.01,12.83,12.91,13.5088,13.081,12.6532,583431,6.5412,0.3002
9/28/2020,12.99,13.09,12.95,13.06,13.5766,13.1125,12.6484,799602,7.0782,0.4434
9/25/2020,12.92,12.99,12.8962,12.95,13.6377,13.137,12.6363,622420,7.6225,0.3133
9/24/2020,12.85,12.99,12.81,12.95,13.6743,13.1625,12.6507,1222849,7.7769,0.2924
9/23/2020,13,13.05,12.8793,12.89,13.7139,13.1905,12.6671,1531231,7.9359,0.2129
9/22/2020,13.12,13.16,12.9708,13.04,13.7388,13.22,12.7012,518594,7.8488,0.3265
9/21/2020,13.25,13.26,12.96,13.1,13.7523,13.2365,12.7207,1056351,7.7942,0.3677
9/18/2020,13.37,13.4401,13.3409,13.43,13.7591,13.2465,12.7339,538666,7.7396,0.679
9/17/2020,13.15,13.3799,13.12,13.37,13.7591,13.2465,12.7339,669833,7.7396,0.6205
9/16/2020,13.07,13.25,13.07,13.22,13.7681,13.2505,12.7329,745917,7.813,0.4705
9/15/2020,12.93,13.02,12.89,12.98,13.7917,13.264,12.7363,1055698,7.9573,0.2309
9/14/2020,12.88,12.94,12.85,12.91,13.8054,13.288,12.7706,948492,7.7881,0.1347
9/11/2020,12.86,12.94,12.84,12.9,13.7929,13.3045,12.8161,862980,7.3419,0.0859
9/10/2020,12.93,12.9897,12.8,12.81,13.7748,13.3215,12.8682,1267677,6.8057,-0.0642
9/9/2020,12.86,12.99,12.81,12.94,13.735,13.3395,12.944,1337613,5.9305,-0.005
9/8/2020,12.79,12.855,12.7,12.82,13.723,13.344,12.965,2071421,5.68,-0.1914
9/4/2020,13.22,13.27,13.09,13.14,13.6635,13.365,13.0665,2013380,4.4668,0.1231
9/3/2020,13.3,13.31,13.13,13.26,13.6607,13.3665,13.0723,970389,4.4025,0.319
9/2/2020,13.54,13.54,13.35,13.38,13.6613,13.371,13.0807,1417646,4.3423,0.5155
9/1/2020,13.59,13.66,13.54,13.56,13.6595,13.3645,13.0695,1436502,4.4145,0.8314
8/31/2020,13.6,13.6,13.51,13.54,13.6396,13.3435,13.0474,1722158,4.4385,0.8318
8/28/2020,13.52,13.57,13.49,13.55,13.6245,13.32,13.0155,893344,4.5721,0.8777
8/27/2020,13.54,13.548,13.37,13.46,13.6171,13.2895,12.9619,687603,4.9297,0.7603
8/26/2020,13.48,13.5299,13.454,13.51,13.625,13.26,12.895,816082,5.5048,0.8425
8/25/2020,13.49,13.49,13.43,13.48,13.5958,13.2355,12.8752,798019,5.4445,0.8393
8/24/2020,13.4,13.415,13.34,13.37,13.5714,13.209,12.8466,1174295,5.4876,0.7221
8/21/2020,13.28,13.3,13.2,13.3,13.5549,13.1915,12.8281,828347,5.5103,0.6493
8/20/2020,13.32,13.45,13.27,13.43,13.5525,13.1715,12.7905,1992386,5.7846,0.8393
8/19/2020,13.49,13.53,13.43,13.45,13.5258,13.144,12.7622,824622,5.8088,0.9008
8/18/2020,13.47,13.53,13.4,13.49,13.4845,13.117,12.7495,3484397,5.6032,1.0075
8/17/2020,13.34,13.46,13.3362,13.46,13.4295,13.084,12.7385,649689,5.2805,1.0442
8/14/2020,13.25,13.3,13.2,13.24,13.393,13.0435,12.694,790323,5.3595,0.7811
8/13/2020,13.21,13.2771,13.19,13.24,13.3893,13.0145,12.6397,862058,5.7602,0.8008
8/12/2020,13.15,13.24,13.15,13.17,13.3779,12.9845,12.5911,574360,6.0598,0.7358
8/11/2020,13.23,13.26,13.03,13.03,13.3605,12.963,12.5655,1284559,6.1328,0.5843
8/10/2020,13.26,13.305,13.2101,13.24,13.3688,12.941,12.5132,774884,6.6112,0.8495
8/7/2020,13.26,13.26,13.0909,13.17,13.3458,12.9055,12.4652,1172917,6.8234,0.8004
8/6/2020,13.38,13.39,13.3,13.35,13.3151,12.88,12.4449,1158742,6.7564,1.0401
8/5/2020,13.41,13.4291,13.24,13.25,13.238,12.8415,12.445,1290825,6.1753,1.0151
8/4/2020,13,13.2,12.98,13.14,13.1671,12.8155,12.4639,860987,5.487,0.9615
8/3/2020,13,13.11,12.97,13.07,13.1207,12.787,12.4533,1288143,5.2196,0.924
7/31/2020,12.93,12.96,12.865,12.94,13.0825,12.7615,12.4405,1263399,5.031,0.778
7/30/2020,12.86,12.9189,12.66,12.87,13.073,12.7375,12.402,1394771,5.2678,0.6975
7/29/2020,13,13.05,12.98,13.02,13.0728,12.7145,12.3562,815172,5.6361,0.9263
7/28/2020,12.96,12.99,12.905,12.95,13.0497,12.679,12.3083,907107,5.847,0.8656
7/27/2020,12.99,13.04,12.8837,13.02,13.0372,12.644,12.2508,1721939,6.2197,0.9781
7/24/2020,12.87,12.9,12.805,12.9,13.0285,12.5955,12.1625,702687,6.8756,0.8516
7/23/2020,12.91,12.97,12.82,12.88,13.0025,12.5605,12.1185,1032067,7.0375,0.8614
7/22/2020,12.82,12.935,12.8,12.91,12.9825,12.521,12.0595,1469352,7.3712,0.9215
7/21/2020,12.83,12.91,12.82,12.83,12.9233,12.4955,12.0677,2112383,6.8474,0.8909
7/20/2020,12.61,12.68,12.531,12.65,12.8764,12.477,12.0776,783207,6.4023,0.7166
7/17/2020,12.64,12.68,12.56,12.66,12.857,12.461,12.065,1712521,6.3562,0.7512
7/16/2020,12.67,12.71,12.615,12.64,12.8367,12.4395,12.0423,1093598,6.3855,0.7524
7/15/2020,12.62,12.76,12.58,12.74,12.8193,12.4155,12.0117,1464166,6.5041,0.9019
7/14/2020,12.47,12.64,12.45,12.59,12.7728,12.3895,12.0062,653729,6.1871,0.7616
7/13/2020,12.68,12.71,12.53,12.53,12.7548,12.366,11.9772,805147,6.2884,0.7109
7/10/2020,12.62,12.7186,12.62,12.66,12.7504,12.34,11.9296,661683,6.6518,0.8898
7/9/2020,12.76,12.77,12.5718,12.58,12.7197,12.305,11.8903,747534,6.7396,0.8316
7/8/2020,12.65,12.73,12.63,12.73,12.6902,12.294,11.8978,819911,6.4446,1.0503
7/7/2020,12.51,12.63,12.5,12.57,12.6135,12.2715,11.9295,1141960,5.5731,0.9365
7/6/2020,12.56,12.61,12.52,12.56,12.5684,12.255,11.9416,1475860,5.1147,0.9866
7/2/2020,12.47,12.53,12.4,12.46,12.5256,12.243,11.9604,1422043,4.6171,0.8839
7/1/2020,12.38,12.42,12.27,12.41,12.4966,12.224,11.9514,1117575,4.4608,0.8411
6/30/2020,12.22,12.3901,12.21,12.31,12.4808,12.2025,11.9242,1118190,4.5621,0.6931
6/29/2020,12.15,12.275,12.12,12.25,12.4758,12.186,11.8962,790609,4.7561,0.6104
6/26/2020,12.14,12.14,12,12.05,12.4887,12.166,11.8433,738136,5.305,0.3203
6/25/2020,12.07,12.2021,12.06,12.2,12.5138,12.1525,11.7912,618878,5.9456,0.5657
6/24/2020,12.36,12.38,12.06,12.09,12.5594,12.1215,11.6836,1372484,7.2255,0.464
6/23/2020,12.48,12.52,12.375,12.4,12.6036,12.093,11.5824,745941,8.4441,0.8006
6/22/2020,12.38,12.47,12.35,12.46,12.5783,12.0565,11.5347,939844,8.6562,0.8866
6/19/2020,12.4,12.4109,12.2,12.33,12.5427,12.011,11.4793,1605442,8.8543,0.8
6/18/2020,12.14,12.25,12.14,12.23,12.5105,11.9765,11.4425,951675,8.9177,0.7374
6/17/2020,12.18,12.24,12.13,12.16,12.4841,11.9495,11.4149,540402,8.948,0.6969
6/16/2020,12.28,12.355,12.1353,12.22,12.477,11.916,11.355,891914,9.4155,0.771
6/15/2020,11.86,12.15,11.81,12.12,12.449,11.881,11.313,652063,9.5623,0.7104
6/12/2020,12.08,12.1389,11.95,12.01,12.4639,11.835,11.2061,693898,10.6281,0.6391
6/11/2020,12.09,12.145,11.91,11.96,12.4904,11.789,11.0876,1122933,11.8991,0.6219
6/10/2020,12.29,12.44,12.24,12.36,12.5316,11.736,10.9404,1292027,13.5578,0.8922
6/9/2020,12.18,12.33,12.15,12.28,12.4699,11.6685,10.8671,646107,13.7362,0.8815
6/8/2020,12.31,12.33,12.21,12.24,12.3957,11.6095,10.8233,1581230,13.5448,0.901
6/5/2020,12.29,12.34,12.26,12.32,12.3048,11.56,10.8152,1500372,12.8857,1.0102
6/4/2020,11.99,12.14,11.99,12.08,12.1883,11.495,10.8017,1091384,12.0621,0.9219
6/3/2020,11.95,12.04,11.87,11.98,12.1159,11.4385,10.7611,862767,11.8434,0.8997
6/2/2020,11.93,11.98,11.89,11.98,12.0368,11.398,10.7592,706360,11.2084,0.9556
6/1/2020,11.73,11.85,11.715,11.85,11.96,11.3435,10.727,970869,10.8688,0.9108
5/29/2020,11.55,11.84,11.51,11.78,11.9094,11.289,10.6686,1109348,10.9915,0.8957
5/28/2020,11.53,11.69,11.5018,11.58,11.8443,11.245,10.6456,678286,10.6598,0.7795
5/27/2020,11.58,11.59,11.44,11.52,11.8242,11.201,10.5778,467127,11.1284,0.7559
