Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DIA US),%B (DIA US)
12/2/2020,297.1,298.75,296.35,298.1799,305.6174,294.0315,282.4456,1781468,7.8807,0.679
12/1/2020,299.73,301.0099,298.18,298.44,307.0107,292.855,278.6993,2865731,9.6674,0.6973
11/30/2020,297.52,297.8,294.75,296.62,308.6414,291.393,274.1446,4159303,11.8386,0.6515
11/27/2020,299.44,300.2,298.1701,299.24,310.3276,289.815,269.3024,1518004,14.1557,0.7297
11/25/2020,299.95,300.04,298.05,298.74,310.5481,288.1825,265.8169,2629180,15.5219,0.736
11/24/2020,298.94,301.11,298.3,300.43,310.3931,286.5195,262.6459,4022685,16.6646,0.7913
11/23/2020,294.26,296.65,293.48,295.89,308.7413,285.231,261.7206,2855621,16.4851,0.7267
11/20/2020,294.22,294.5895,292.2,292.53,307.5243,284.2865,261.0487,3092546,16.3482,0.6774
11/19/2020,294.06,295.81,292.9,295.33,306.756,283.827,260.898,3266622,16.157,0.7508
11/18/2020,299.2,299.75,294.76,294.76,305.5571,283.243,260.929,3566443,15.7561,0.7581
11/17/2020,297.31,299.15,295.6,298.31,304.2848,282.6035,260.9223,4049164,15.3439,0.8622
11/16/2020,299.28,300.08,297.568,299.98,302.2904,281.8355,261.3806,4615039,14.5155,0.9435
11/13/2020,292.97,295.9235,292.42,295.15,299.6287,280.938,262.2473,3102834,13.306,0.8802
11/12/2020,292.22,293.32,289.19,291.05,298.1756,280.479,262.7824,4401456,12.6188,0.7987
11/11/2020,296.07,296.14,292.93,294.11,297.343,280.1785,263.014,2910419,12.2525,0.9058
11/10/2020,293.3,294.96,291.4,294.51,295.8509,279.7295,263.6081,4354521,11.5264,0.9584
11/9/2020,298.61,299.49,291.39,291.72,294.3554,279.341,264.3266,10839326,10.7499,0.9122
11/6/2020,283.95,284.38,281.89,283.22,293.7145,279.178,264.6415,3078245,10.4138,0.639
11/5/2020,282.29,284.9599,282.07,283.91,294.0473,279.3135,264.5797,4316166,10.55,0.656
11/4/2020,275.9,283.06,275.5601,278.51,294.0909,279.3325,264.574,6766381,10.5669,0.4721
11/3/2020,272.66,276.43,272.2,274.65,294.3873,279.553,264.7187,4343013,10.6129,0.3347
11/2/2020,268.9,270.5,266.93,269.2,294.3975,279.7065,265.0155,5062870,10.5046,0.1424
10/30/2020,265.03,266.32,261.41,265.06,294.2102,280.322,266.4337,5278983,9.9088,-0.0495
10/29/2020,265.13,268.94,262.81,266.59,293.0499,280.909,268.7681,5479384,8.644,-0.0897
10/28/2020,269,270.75,265.02,265.48,291.8109,281.4865,271.1621,5815157,7.3356,-0.2752
10/27/2020,276.95,277.07,274.6,274.66,289.643,282.0875,274.532,3029773,5.3568,0.0085
10/26/2020,280.14,280.39,273.7,277,289.6787,282.0755,274.4723,5140625,5.3909,0.1662
10/23/2020,284.45,284.54,281.51,283.34,289.784,282.0205,274.257,2161005,5.5056,0.585
10/22/2020,282.1,284.16,280.3001,283.65,290.3756,281.4385,272.5014,2324172,6.351,0.6237
10/21/2020,282.54,284.47,281.83,281.97,291.2468,280.661,270.0752,2907083,7.5435,0.5618
10/20/2020,283.16,285.66,282.25,282.95,291.936,279.9415,267.947,3338994,8.5693,0.6254
10/19/2020,286.64,287.06,281.28,282.03,291.7309,279.4345,267.1381,2837641,8.8009,0.6055
10/16/2020,286.24,288.37,285.89,285.97,291.6139,278.905,266.1961,2412674,9.1134,0.778
10/15/2020,282.03,285.4,281.66,285.04,290.7523,278.4325,266.1127,3134929,8.8494,0.7682
10/14/2020,287.22,287.95,284.58,285.13,290.1174,278.159,266.2006,2269823,8.5983,0.7915
10/13/2020,287.66,288.1099,286.02,286.74,289.5629,277.954,266.3452,2430643,8.3531,0.8784
