Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (SPY US),%B (SPY US)
12/10/2020,365.37,367.86,364.43,366.6001,372.6322,362.751,352.8698,39385736,5.4479,0.6948
12/9/2020,370.88,371.05,365.95,366.85,372.3086,362.2545,352.2004,74098312,5.5509,0.7285
12/8/2020,367.72,370.78,367.67,370.17,372.0407,361.614,351.1873,42458860,5.7667,0.9103
12/7/2020,369.02,369.62,367.72,369.09,370.9127,360.8335,350.7543,48944268,5.5866,0.9096
12/4/2020,367.32,369.85,367.22,369.85,370.2386,359.887,349.5353,50749860,5.7527,0.9812
12/3/2020,366.68,368.19,365.5,366.69,369.0096,358.9065,348.8034,62882000,5.6299,0.8852
12/2/2020,364.82,366.96,364.2,366.79,369.2304,357.749,346.2676,45927000,6.4187,0.8937
12/1/2020,365.57,367.68,364.93,366.02,370.3657,356.211,342.0563,74504968,7.9474,0.8465
11/30/2020,362.83,363.12,359.17,362.06,371.844,354.42,336.996,83872712,9.8324,0.7192
11/27/2020,363.84,364.18,362.58,363.67,373.495,352.644,331.793,28514072,11.8255,0.7644
11/25/2020,363.13,363.16,361.48,362.66,373.3611,350.9595,328.5579,45330888,12.7659,0.7612
11/24/2020,360.21,363.81,359.29,363.22,373.234,349.1595,325.085,62415876,13.79,0.792
11/23/2020,357.28,358.82,354.865,357.46,371.5258,347.9095,324.2932,63230608,13.5761,0.7022
11/20/2020,357.5,357.72,355.25,355.33,370.4738,347.006,323.5382,70411888,13.5259,0.6773
11/19/2020,355.6,358.18,354.15,357.78,369.686,346.5285,323.371,59940948,13.3654,0.7429
11/18/2020,360.91,361.5,356.24,356.28,368.4521,345.87,323.2879,70591296,13.0581,0.7305
11/17/2020,359.97,361.92,358.34,360.62,367.2926,345.1925,323.0924,66111008,12.8045,0.849
11/16/2020,360.98,362.78,359.59,362.57,365.2708,344.3305,323.3902,74541136,12.1629,0.9355
11/13/2020,355.27,358.9,354.71,358.1,362.5069,343.3025,324.0981,62959428,11.188,0.8853
11/12/2020,355.58,356.7182,351.26,353.21,360.8459,342.762,324.6781,68118560,10.5519,0.7889
11/11/2020,356.4,357.56,355.06,356.67,360.0651,342.4765,324.8879,58649048,10.2714,0.9035
11/10/2020,353.49,355.18,350.51,354.04,358.6001,342.0395,325.4789,85552024,9.6834,0.8623
11/9/2020,363.97,364.38,354.06,354.56,357.9185,341.844,325.7695,172304208,9.4046,0.8955
11/6/2020,349.93,351.51,347.65,350.16,357.4987,341.7375,325.9763,74972976,9.2242,0.7672
11/5/2020,349.24,352.19,348.86,350.24,357.0428,341.572,326.1011,82039752,9.0586,0.7801
11/4/2020,340.86,347.94,339.59,343.54,356.2449,341.249,326.2531,126959696,8.7889,0.5764
11/3/2020,333.69,338.25,330.2935,336.03,356.0699,341.11,326.1501,93294192,8.7713,0.3302
11/2/2020,330.2,332.36,327.24,330.2,356.097,341.055,326.0129,86068296,8.8209,0.1392
