Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (UUP US),%B (UUP US)
12/10/2020,24.55,24.55,24.45,24.481,25.1743,24.7575,24.3408,544991,3.3667,0.1682
12/9/2020,24.51,24.6,24.49,24.55,25.2065,24.7875,24.3685,518673,3.3811,0.2166
12/8/2020,24.49,24.55,24.49,24.54,25.2315,24.8125,24.3935,612363,3.3777,0.1749
12/7/2020,24.48,24.5199,24.44,24.51,25.2496,24.838,24.4264,896967,3.3144,0.1016
12/4/2020,24.41,24.5,24.4,24.47,25.2404,24.857,24.4736,1834397,3.0849,-0.0047
12/3/2020,24.44,24.485,24.41,24.44,25.2252,24.8825,24.5398,1003138,2.7549,-0.1455
12/2/2020,24.63,24.635,24.5601,24.57,25.2297,24.9215,24.6133,1125243,2.4737,-0.0702
12/1/2020,24.72,24.75,24.58,24.6,25.2534,24.956,24.6586,980879,2.3835,-0.0985
11/30/2020,24.69,24.82,24.68,24.82,25.3061,24.996,24.6859,435759,2.4809,0.2162
11/27/2020,24.8,24.8,24.75,24.76,25.3625,25.0235,24.6845,198278,2.7091,0.1113
11/25/2020,24.85,24.87,24.7959,24.81,25.3955,25.0525,24.7095,599299,2.7386,0.1465
11/24/2020,24.94,24.9683,24.85,24.85,25.4073,25.074,24.7407,666328,2.6586,0.164
11/23/2020,24.85,25.0307,24.84,24.97,25.4026,25.0855,24.7684,749618,2.528,0.3179
11/20/2020,24.89,24.94,24.89,24.93,25.4066,25.0935,24.7804,333784,2.4952,0.2389
11/19/2020,25.01,25.01,24.89,24.9,25.4041,25.099,24.7938,302811,2.4316,0.1739
11/18/2020,24.92,24.94,24.88,24.94,25.4002,25.109,24.8178,408364,2.3195,0.2098
11/17/2020,24.91,24.95,24.91,24.93,25.3973,25.112,24.8267,1027290,2.2726,0.1811
11/16/2020,25.01,25.02,24.97,24.97,25.3949,25.122,24.8491,2991656,2.1724,0.2215
11/13/2020,25.05,25.06,25.02,25.03,25.4001,25.134,24.8679,1037798,2.1176,0.3046
11/12/2020,25.1,25.1059,25.0513,25.08,25.4169,25.147,24.8771,497394,2.1466,0.3759
11/11/2020,25.12,25.145,25.08,25.08,25.4371,25.159,24.8809,495737,2.211,0.358
11/10/2020,25,25.055,24.995,25.05,25.4412,25.165,24.8888,734356,2.1953,0.2918
11/9/2020,24.86,25.09,24.86,25.05,25.4494,25.1755,24.9016,1846459,2.1759,0.2709
11/6/2020,24.92,24.97,24.87,24.89,25.4481,25.1785,24.9089,3497039,2.1416,-0.035
11/5/2020,25.01,25.0689,24.95,24.98,25.427,25.191,24.955,1557023,1.874,0.053
11/4/2020,25.27,25.3,25.185,25.22,25.4252,25.2065,24.9878,1126611,1.7349,0.5309
11/3/2020,25.23,25.27,25.18,25.26,25.4329,25.2105,24.9881,6207805,1.7643,0.6113
11/2/2020,25.42,25.43,25.38,25.4,25.4415,25.214,24.9865,1713459,1.8049,0.9087
10/30/2020,25.32,25.4,25.3012,25.37,25.4193,25.207,24.9947,609035,1.6847,0.8838
10/29/2020,25.3,25.4089,25.3,25.34,25.4193,25.207,24.9947,1219822,1.6847,0.8132
10/28/2020,25.23,25.27,25.2,25.24,25.4144,25.2055,24.9966,648732,1.658,0.5826
10/27/2020,25.06,25.09,25.04,25.08,25.4289,25.211,24.9931,181782,1.7285,0.1994
10/26/2020,25.09,25.13,25.09,25.13,25.4417,25.2245,25.0073,368349,1.7222,0.2825
10/23/2020,25.03,25.095,25.025,25.04,25.4788,25.2415,25.0042,481506,1.8799,0.0754
10/22/2020,25.04,25.1,25.04,25.1,25.5212,25.267,25.0128,1276077,2.0119,0.1715
10/21/2020,25.05,25.05,24.9565,25,25.5442,25.286,25.0278,1624015,2.0421,-0.0539
10/20/2020,25.15,25.17,25.1,25.13,25.554,25.312,25.07,1538473,1.9118,0.1239
10/19/2020,25.17,25.225,25.16,25.21,25.553,25.3245,25.096,545928,1.8047,0.2495
10/16/2020,25.28,25.3,25.2601,25.29,25.5516,25.3285,25.1054,951274,1.7616,0.4137
10/15/2020,25.32,25.35,25.3,25.32,25.5618,25.3195,25.0772,1417194,1.9138,0.501
10/14/2020,25.21,25.23,25.17,25.2,25.5713,25.3075,25.0437,879529,2.0848,0.2963
10/13/2020,25.22,25.27,25.21,25.26,25.5726,25.306,25.0394,12537574,2.1067,0.4137
10/12/2020,25.13,25.14,25.11,25.11,25.5757,25.3,25.0243,676223,2.1793,0.1554
10/9/2020,25.17,25.2,25.12,25.14,25.5748,25.3005,25.0262,1993428,2.1686,0.2075
10/8/2020,25.3,25.35,25.28,25.29,25.5727,25.3025,25.0323,885342,2.1356,0.4769
10/7/2020,25.31,25.32,25.28,25.3,25.5715,25.2995,25.0275,1158621,2.1502,0.5009
10/6/2020,25.22,25.3499,25.22,25.33,25.5704,25.2935,25.0166,2282989,2.1897,0.5659
10/5/2020,25.27,25.27,25.22,25.26,25.5662,25.288,25.0098,1047147,2.2001,0.4497
10/2/2020,25.37,25.38,25.33,25.37,25.5707,25.2795,24.9883,1354392,2.3036,0.6554
10/1/2020,25.33,25.38,25.31,25.31,25.5679,25.2635,24.9591,916019,2.4097,0.5764
9/30/2020,25.4,25.4499,25.3,25.35,25.5686,25.25,24.9314,1217995,2.5232,0.657
9/29/2020,25.4,25.415,25.35,25.35,25.5704,25.23,24.8896,1239005,2.6985,0.6763
9/28/2020,25.45,25.5,25.43,25.47,25.5719,25.2075,24.8431,756524,2.8908,0.8602
9/25/2020,25.57,25.6,25.54,25.55,25.5431,25.1805,24.8179,1410530,2.8798,1.0096
9/24/2020,25.54,25.56,25.44,25.48,25.4803,25.1595,24.8387,2385001,2.55,0.9996
9/23/2020,25.45,25.54,25.4,25.52,25.4262,25.1405,24.8548,12116363,2.2727,1.1642
9/22/2020,25.3,25.42,25.28,25.38,25.3475,25.121,24.8945,1328304,1.8035,1.0717
9/21/2020,25.24,25.34,25.23,25.29,25.312,25.113,24.914,1408674,1.5849,0.9447
9/18/2020,25.11,25.13,25.05,25.11,25.2922,25.1075,24.9228,820056,1.4713,0.5068
9/17/2020,25.2,25.2011,25.08,25.08,25.2908,25.105,24.9192,875649,1.4806,0.4327
9/16/2020,25.1,25.195,25.08,25.17,25.2933,25.1075,24.9217,602013,1.4799,0.6682
9/15/2020,25.1,25.17,25.09,25.14,25.2941,25.0955,24.8969,448535,1.5831,0.612
9/14/2020,25.1,25.145,25.08,25.12,25.2898,25.092,24.8942,611868,1.577,0.5708
9/11/2020,25.17,25.23,25.17,25.18,25.2962,25.095,24.8938,467916,1.6039,0.7112
9/10/2020,25.07,25.24,25.04,25.23,25.3023,25.097,24.8917,950307,1.6364,0.8239
9/9/2020,25.2,25.2,25.1531,25.18,25.3023,25.097,24.8917,646303,1.6364,0.7021
9/8/2020,25.21,25.25,25.182,25.22,25.3264,25.1035,24.8806,1556859,1.776,0.7613
9/4/2020,25.14,25.182,25.04,25.09,25.3351,25.106,24.8769,1193358,1.8252,0.4651
9/3/2020,25.07,25.13,25.04,25.05,25.3482,25.113,24.8778,1004443,1.8732,0.3661
9/2/2020,25.05,25.095,25.03,25.04,25.3485,25.1145,24.8805,1923933,1.8632,0.3408
9/1/2020,24.8,24.965,24.8,24.95,25.3486,25.1165,24.8844,1022905,1.8478,0.1413
8/31/2020,24.9,24.939,24.845,24.9,25.3494,25.1285,24.9076,1732214,1.7584,-0.0171
8/28/2020,24.96,25.005,24.92,24.93,25.3513,25.1475,24.9437,1200597,1.6205,-0.0337
8/27/2020,25.02,25.22,25,25.13,25.3503,25.165,24.9797,698361,1.4728,0.4056
8/26/2020,25.19,25.19,25.0831,25.1,25.3503,25.165,24.9797,879909,1.4728,0.3246
8/25/2020,25.14,25.19,25.12,25.13,25.3564,25.1715,24.9866,869189,1.4688,0.3877
